service_date,Commuter Rail,Bus (Bus),Bus (Silver Line),The RIDE,Rail (Red),Rail (Green),Rail (Blue),Rail (Orange),Ferry (Boat-F1)
2016-01-01T05:00:00.000Z,2827718,6985521,669761,113748,4738658,3366005,1142850,4110859,59503
2016-02-01T05:00:00.000Z,2615220,7469019,730265,113282,5132032,3752289,1220639,4379649,58596
2016-03-01T05:00:00.000Z,3084894,8679363,901662,137440,6047058,4387768,1510118,5121816,67941
2016-04-01T04:00:00.000Z,2732306,6231752,650905,125259,5573282,4223658,1511915,4680719,65615
2016-05-01T04:00:00.000Z,2656887,8092982,783259,127655,5546573,3933571,1518063,4628636,69197
2016-06-01T04:00:00.000Z,3112409,8606097,845464,159519,5881456,4144063,1660877,4860703,81229
2016-07-01T04:00:00.000Z,2818964,7105389,744914,136282,5270208,3721468,1509610,4233095,74280
2016-08-01T04:00:00.000Z,3014604,8052127,823347,156522,5774632,4003897,1666468,4692482,84757
2016-09-01T04:00:00.000Z,2830550,8186778,724110,150322,5702668,4076521,1576201,4702395,71201
2016-10-01T04:00:00.000Z,2845193,7676816,715177,148136,5657271,4029136,1550149,4651161,69678
2016-11-01T04:00:00.000Z,2760800,7403080,683466,147798,5413231,3831723,1486293,4497805,66818
2016-12-01T05:00:00.000Z,2732358,7119231,666184,145378,4944886,3497594,1399861,4145175,58582
2017-01-01T05:00:00.000Z,2530346,6857420,668607,139868,4935366,3368738,1333203,4153221,63397
2017-02-01T05:00:00.000Z,2366827,6320900,603358,122620,4696803,3335246,1253564,3887141,48613
2017-03-01T05:00:00.000Z,2742436,7823065,770216,157978,5750523,4010221,1542035,4735889,66563
2017-04-01T04:00:00.000Z,2438211,6911721,681787,141060,5273279,3806254,1457503,4311548,61364
2017-05-01T04:00:00.000Z,2674877,7945267,777613,154184,5760641,3855004,1597468,4698525,82776
2017-06-01T04:00:00.000Z,2779103,7767120,766040,148220,5773775,3958035,1685819,4714243,47836
2017-07-01T04:00:00.000Z,2698676,6928956,760559,128361,5169112,3444648,1513659,4101199,70720
2017-08-01T04:00:00.000Z,2867065,7518350,788707,149390,5786163,3781642,1717782,4624184,82468
2017-09-01T04:00:00.000Z,2526284,7400409,663795,132680,5409746,3789136,1555249,4447505,69395
2017-10-01T04:00:00.000Z,2756480,8050056,747702,145884,5898601,3976259,1686439,4872726,75904
2017-11-01T04:00:00.000Z,2593976,7376707,689488,138249,5390729,3668262,1522572,4450208,67869
2017-12-01T05:00:00.000Z,2411351,6426027,612362,126210,4548600,3102458,1331912,3832255,55481
2018-01-01T05:00:00.000Z,2490280,6840789,635182,125370,4696090,3141136,1323204,3987313,37209
2018-02-01T05:00:00.000Z,2289469,6579570,598648,124694,4613903,3194840,1321300,3938019,57076
2018-03-01T05:00:00.000Z,2556696,7162827,688735,128248,5013455,3400249,1439092,4220321,58898
2018-04-01T04:00:00.000Z,2530649,7209478,745155,138743,5315936,3715423,1548228,4463067,63282
2018-05-01T04:00:00.000Z,2682524,7862668,817296,146907,5654937,3744898,1696348,4722969,75002
2018-06-01T04:00:00.000Z,2581136,7274607,784891,136637,5360458,3553979,1642111,4476711,76176
2018-07-01T04:00:00.000Z,2540486,7057588,789279,129523,5111092,3594274,1587867,4202646,78419
2018-08-01T04:00:00.000Z,2781155,7694137,859521,140750,5411159,3706947,1655644,4450677,83211
2018-09-01T04:00:00.000Z,2296199,7063597,703816,119784,4859060,3561584,1433946,4043458,68746
2018-10-01T04:00:00.000Z,2800712,8555318,879936,144156,5955310,4349667,1748476,4980608,82206
2018-11-01T04:00:00.000Z,2547322,7395071,798509,126859,5079375,3616694,1481110,4269986,68740
2018-12-01T05:00:00.000Z,2424940,6422324,659334,118195,4270301,3042631,1291519,3630254,56588
2019-01-01T05:00:00.000Z,2540240,7103166,728626,127133,4775951,3322102,1390803,4049901,69315
2019-02-01T05:00:00.000Z,2315272,6542399,655079,113706,4570488,3204597,1291124,3779937,61773
2019-03-01T05:00:00.000Z,2552939,7357430,786680,127203,5018393,3479327,1435380,4182580,66093
2019-04-01T04:00:00.000Z,2651110,7689901,823061,133432,5391799,3819945,1599512,4527379,71300
2019-05-01T04:00:00.000Z,2536088,7884809,850391,136602,5422544,3624765,1631294,4562221,75512
2019-06-01T04:00:00.000Z,2550890,6970275,765614,121447,4757240,3305499,1541358,4166742,82854
2019-07-01T04:00:00.000Z,2620848,7440844,825192,127159,5021199,3437565,1651051,4352778,92145
2019-08-01T04:00:00.000Z,2646170,7338690,823813,126310,4880100,3232914,1616173,4239128,89914
2019-09-01T04:00:00.000Z,2416473,7479428,738886,121197,4915753,3179038,1528456,4311143,83662
2019-10-01T00:00:00.000Z,2792281,8357878,838063,138048,5620037,3601913,1588641,4775264,87597
