service_date,Commuter Rail,Bus (Bus),Bus (Silver Line),The RIDE,Rail (Red),Rail (Green),Rail (Blue),Rail (Orange),Ferry (Boat-F1)
2016-01-01T05:00:00.000Z,134653.3,367659,35250.6,5986.7,249403.1,177158.2,60150,216361,2975.2
2016-02-01T05:00:00.000Z,124534.3,373451,36513.3,5664.1,256601.6,187614.4,61032,218982.5,2790.3
2016-03-01T05:00:00.000Z,134125.8,377363.6,39202.7,5975.7,262915.6,190772.5,65657.3,222687.6,2954
2016-04-01T04:00:00.000Z,130109.8,389484.5,40681.6,5964.7,265394.4,201126.6,71995.9,222891.4,3124.5
2016-05-01T04:00:00.000Z,120767.6,385380.1,37298,6078.8,264122.5,187312.9,72288.7,220411.3,3295.1
2016-06-01T04:00:00.000Z,141473.2,391186.2,38430.2,7250.9,267338.9,188366.5,75494.4,220941,3692.2
2016-07-01T04:00:00.000Z,134236.4,355269.5,37245.7,6814.1,263510.4,186073.4,75480.5,211654.7,3714
2016-08-01T04:00:00.000Z,131069.7,350092.5,35797.7,6805.3,251070.9,174082.5,72455.1,204021,3685.1
2016-09-01T04:00:00.000Z,128661.4,389846.6,34481.4,7158.2,271555.6,194120.1,75057.2,223923.6,3236.4
2016-10-01T04:00:00.000Z,135485.4,383840.8,35758.9,7054.1,269393.9,191863.6,73816.6,221483.9,3318
2016-11-01T04:00:00.000Z,125490.9,370154,34173.3,7038,257772.9,182463,70775.8,214181.2,3181.8
2016-12-01T05:00:00.000Z,124198.1,339011,31723,6922.8,235470.8,166552.1,66660.1,197389.3,2789.6
2017-01-01T05:00:00.000Z,126517.3,342871,33430.4,6993.4,246768.3,168436.9,66660.2,207661,3018.9
2017-02-01T05:00:00.000Z,124569.8,332678.9,31755.7,6453.7,247200.2,175539.3,65977,204586.4,2430.7
2017-03-01T05:00:00.000Z,119236.3,340133.3,33487.7,6868.6,250022.8,174357.4,67045,205908.2,2894
2017-04-01T04:00:00.000Z,121910.6,345586.1,34089.4,7053,263663.9,190312.7,72875.2,215577.4,3068.2
2017-05-01T04:00:00.000Z,121585.3,361148.5,35346,7008.4,261847.3,175227.4,72612.2,213569.3,3941.7
2017-06-01T04:00:00.000Z,126322.9,353050.9,34820,6737.3,262444.3,179910.7,76628.1,214283.8,2174.4
