service_date,mode,route_or_line,total_monthly_ridership,countofdates,average_monthly_ridership
2016-01-01T05:00:00.000Z,Bus,Bus,6985521,19,367659
2016-01-01T05:00:00.000Z,Bus,Silver Line,669761,19,35250.6
2016-01-01T05:00:00.000Z,Commuter Rail,Commuter Rail,2827718,21,134653.3
2016-01-01T05:00:00.000Z,Ferry,Boat-F1,59503,20,2975.2
2016-01-01T05:00:00.000Z,Ferry,Boat-F4,24363,20,1218.2
2016-01-01T05:00:00.000Z,Rail,Blue Line,1142850,19,60150
2016-01-01T05:00:00.000Z,Rail,Green Line,3366005,19,177158.2
2016-01-01T05:00:00.000Z,Rail,Orange Line,4110859,19,216361
2016-01-01T05:00:00.000Z,Rail,Red Line,4738658,19,249403.1
2016-01-01T05:00:00.000Z,The RIDE,The RIDE,113748,19,5986.7
2016-02-01T05:00:00.000Z,Bus,Bus,7469019,20,373451
2016-02-01T05:00:00.000Z,Bus,Silver Line,730265,20,36513.3
2016-02-01T05:00:00.000Z,Commuter Rail,Commuter Rail,2615220,21,124534.3
2016-02-01T05:00:00.000Z,Ferry,Boat-F1,58596,21,2790.3
2016-02-01T05:00:00.000Z,Ferry,Boat-F4,25350,20,1267.6
2016-02-01T05:00:00.000Z,Rail,Blue Line,1220639,20,61032
2016-02-01T05:00:00.000Z,Rail,Green Line,3752289,20,187614.4
2016-02-01T05:00:00.000Z,Rail,Orange Line,4379649,20,218982.5
2016-02-01T05:00:00.000Z,Rail,Red Line,5132032,20,256601.6
2016-02-01T05:00:00.000Z,The RIDE,The RIDE,113282,20,5664.1
2016-03-01T05:00:00.000Z,Bus,Bus,8679363,23,377363.6
2016-03-01T05:00:00.000Z,Bus,Silver Line,901662,23,39202.7
2016-03-01T05:00:00.000Z,Commuter Rail,Commuter Rail,3084894,23,134125.8
2016-03-01T05:00:00.000Z,Ferry,Boat-F1,67941,23,2954
2016-03-01T05:00:00.000Z,Ferry,Boat-F4,33250,23,1445.6
2016-03-01T05:00:00.000Z,Rail,Blue Line,1510118,23,65657.3
2016-03-01T05:00:00.000Z,Rail,Green Line,4387768,23,190772.5
2016-03-01T05:00:00.000Z,Rail,Orange Line,5121816,23,222687.6
2016-03-01T05:00:00.000Z,Rail,Red Line,6047058,23,262915.6
2016-03-01T05:00:00.000Z,The RIDE,The RIDE,137440,23,5975.7
2016-04-01T04:00:00.000Z,Bus,Bus,6231752,16,389484.5
2016-04-01T04:00:00.000Z,Bus,Silver Line,650905,16,40681.6
2016-04-01T04:00:00.000Z,Commuter Rail,Commuter Rail,2732306,21,130109.8
2016-04-01T04:00:00.000Z,Ferry,Boat-F1,65615,21,3124.5
2016-04-01T04:00:00.000Z,Ferry,Boat-F4,36760,21,1750.5
2016-04-01T04:00:00.000Z,Rail,Blue Line,1511915,21,71995.9
2016-04-01T04:00:00.000Z,Rail,Green Line,4223658,21,201126.6
2016-04-01T04:00:00.000Z,Rail,Orange Line,4680719,21,222891.4
2016-04-01T04:00:00.000Z,Rail,Red Line,5573282,21,265394.4
2016-04-01T04:00:00.000Z,The RIDE,The RIDE,125259,21,5964.7
2016-05-01T04:00:00.000Z,Bus,Bus,8092982,21,385380.1
2016-05-01T04:00:00.000Z,Bus,Silver Line,783259,21,37298
2016-05-01T04:00:00.000Z,Commuter Rail,Commuter Rail,2656887,22,120767.6
2016-05-01T04:00:00.000Z,Ferry,Boat-F1,69197,21,3295.1
2016-05-01T04:00:00.000Z,Ferry,Boat-F4,41920,21,1996.2
2016-05-01T04:00:00.000Z,Rail,Blue Line,1518063,21,72288.7
2016-05-01T04:00:00.000Z,Rail,Green Line,3933571,21,187312.9
2016-05-01T04:00:00.000Z,Rail,Orange Line,4628636,21,220411.3
2016-05-01T04:00:00.000Z,Rail,Red Line,5546573,21,264122.5
2016-05-01T04:00:00.000Z,The RIDE,The RIDE,127655,21,6078.8
2016-06-01T04:00:00.000Z,Bus,Bus,8606097,22,391186.2
2016-06-01T04:00:00.000Z,Bus,Silver Line,845464,22,38430.2
2016-06-01T04:00:00.000Z,Commuter Rail,Commuter Rail,3112409,22,141473.2
2016-06-01T04:00:00.000Z,Ferry,Boat-F1,81229,22,3692.2
2016-06-01T04:00:00.000Z,Ferry,Boat-F4,60655,22,2757.1
2016-06-01T04:00:00.000Z,Rail,Blue Line,1660877,22,75494.4
2016-06-01T04:00:00.000Z,Rail,Green Line,4144063,22,188366.5
2016-06-01T04:00:00.000Z,Rail,Orange Line,4860703,22,220941
2016-06-01T04:00:00.000Z,Rail,Red Line,5881456,22,267338.9
2016-06-01T04:00:00.000Z,The RIDE,The RIDE,159519,22,7250.9
2016-07-01T04:00:00.000Z,Bus,Bus,7105389,20,355269.5
2016-07-01T04:00:00.000Z,Bus,Silver Line,744914,20,37245.7
2016-07-01T04:00:00.000Z,Commuter Rail,Commuter Rail,2818964,21,134236.4
2016-07-01T04:00:00.000Z,Ferry,Boat-F1,74280,20,3714
2016-07-01T04:00:00.000Z,Ferry,Boat-F4,68403,20,3420.2
2016-07-01T04:00:00.000Z,Rail,Blue Line,1509610,20,75480.5
2016-07-01T04:00:00.000Z,Rail,Green Line,3721468,20,186073.4
2016-07-01T04:00:00.000Z,Rail,Orange Line,4233095,20,211654.7
2016-07-01T04:00:00.000Z,Rail,Red Line,5270208,20,263510.4
2016-07-01T04:00:00.000Z,The RIDE,The RIDE,136282,20,6814.1
2016-08-01T04:00:00.000Z,Bus,Bus,8052127,23,350092.5
2016-08-01T04:00:00.000Z,Bus,Silver Line,823347,23,35797.7
2016-08-01T04:00:00.000Z,Commuter Rail,Commuter Rail,3014604,23,131069.7
2016-08-01T04:00:00.000Z,Ferry,Boat-F1,84757,23,3685.1
2016-08-01T04:00:00.000Z,Ferry,Boat-F4,74815,23,3252.9
2016-08-01T04:00:00.000Z,Rail,Blue Line,1666468,23,72455.1
2016-08-01T04:00:00.000Z,Rail,Green Line,4003897,23,174082.5
2016-08-01T04:00:00.000Z,Rail,Orange Line,4692482,23,204021
2016-08-01T04:00:00.000Z,Rail,Red Line,5774632,23,251070.9
2016-08-01T04:00:00.000Z,The RIDE,The RIDE,156522,23,6805.3
2016-09-01T04:00:00.000Z,Bus,Bus,8186778,21,389846.6
2016-09-01T04:00:00.000Z,Bus,Silver Line,724110,21,34481.4
2016-09-01T04:00:00.000Z,Commuter Rail,Commuter Rail,2830550,22,128661.4
2016-09-01T04:00:00.000Z,Ferry,Boat-F1,71201,22,3236.4
