date,value,mode
2016-01-01T05:00:00.000Z,134653,Commuter Rail
2016-01-01T05:00:00.000Z,367659,Bus (Bus)
2016-01-01T05:00:00.000Z,35251,Bus (Silver Line)
2016-01-01T05:00:00.000Z,5987,The RIDE
2016-01-01T05:00:00.000Z,249403,Rail (Red)
2016-01-01T05:00:00.000Z,177158,Rail (Green)
2016-01-01T05:00:00.000Z,60150,Rail (Blue)
2016-01-01T05:00:00.000Z,216361,Rail (Orange)
2016-01-01T05:00:00.000Z,2975,Ferry (Boat-F1)
2016-02-01T05:00:00.000Z,124534,Commuter Rail
2016-02-01T05:00:00.000Z,373451,Bus (Bus)
2016-02-01T05:00:00.000Z,36513,Bus (Silver Line)
2016-02-01T05:00:00.000Z,5664,The RIDE
2016-02-01T05:00:00.000Z,256602,Rail (Red)
2016-02-01T05:00:00.000Z,187614,Rail (Green)
2016-02-01T05:00:00.000Z,61032,Rail (Blue)
2016-02-01T05:00:00.000Z,218983,Rail (Orange)
2016-02-01T05:00:00.000Z,2790,Ferry (Boat-F1)
2016-03-01T05:00:00.000Z,134126,Commuter Rail
2016-03-01T05:00:00.000Z,377364,Bus (Bus)
2016-03-01T05:00:00.000Z,39203,Bus (Silver Line)
2016-03-01T05:00:00.000Z,5976,The RIDE
2016-03-01T05:00:00.000Z,262916,Rail (Red)
2016-03-01T05:00:00.000Z,190773,Rail (Green)
2016-03-01T05:00:00.000Z,65657,Rail (Blue)
2016-03-01T05:00:00.000Z,222688,Rail (Orange)
2016-03-01T05:00:00.000Z,2954,Ferry (Boat-F1)
2016-04-01T04:00:00.000Z,130110,Commuter Rail
2016-04-01T04:00:00.000Z,389485,Bus (Bus)
2016-04-01T04:00:00.000Z,40682,Bus (Silver Line)
2016-04-01T04:00:00.000Z,5965,The RIDE
2016-04-01T04:00:00.000Z,265394,Rail (Red)
2016-04-01T04:00:00.000Z,201127,Rail (Green)
2016-04-01T04:00:00.000Z,71996,Rail (Blue)
2016-04-01T04:00:00.000Z,222891,Rail (Orange)
2016-04-01T04:00:00.000Z,3125,Ferry (Boat-F1)
2016-05-01T04:00:00.000Z,120768,Commuter Rail
2016-05-01T04:00:00.000Z,385380,Bus (Bus)
2016-05-01T04:00:00.000Z,37298,Bus (Silver Line)
2016-05-01T04:00:00.000Z,6079,The RIDE
2016-05-01T04:00:00.000Z,264123,Rail (Red)
2016-05-01T04:00:00.000Z,187313,Rail (Green)
2016-05-01T04:00:00.000Z,72289,Rail (Blue)
2016-05-01T04:00:00.000Z,220411,Rail (Orange)
2016-05-01T04:00:00.000Z,3295,Ferry (Boat-F1)
2016-06-01T04:00:00.000Z,141473,Commuter Rail
2016-06-01T04:00:00.000Z,391186,Bus (Bus)
2016-06-01T04:00:00.000Z,38430,Bus (Silver Line)
2016-06-01T04:00:00.000Z,7251,The RIDE
2016-06-01T04:00:00.000Z,267339,Rail (Red)
2016-06-01T04:00:00.000Z,188367,Rail (Green)
2016-06-01T04:00:00.000Z,75494,Rail (Blue)
2016-06-01T04:00:00.000Z,220941,Rail (Orange)
2016-06-01T04:00:00.000Z,3692,Ferry (Boat-F1)
2016-07-01T04:00:00.000Z,134236,Commuter Rail
2016-07-01T04:00:00.000Z,355270,Bus (Bus)
2016-07-01T04:00:00.000Z,37246,Bus (Silver Line)
2016-07-01T04:00:00.000Z,6814,The RIDE
2016-07-01T04:00:00.000Z,263510,Rail (Red)
2016-07-01T04:00:00.000Z,186073,Rail (Green)
2016-07-01T04:00:00.000Z,75481,Rail (Blue)
2016-07-01T04:00:00.000Z,211655,Rail (Orange)
2016-07-01T04:00:00.000Z,3714,Ferry (Boat-F1)
2016-08-01T04:00:00.000Z,131070,Commuter Rail
2016-08-01T04:00:00.000Z,350093,Bus (Bus)
2016-08-01T04:00:00.000Z,35798,Bus (Silver Line)
2016-08-01T04:00:00.000Z,6805,The RIDE
2016-08-01T04:00:00.000Z,251071,Rail (Red)
2016-08-01T04:00:00.000Z,174083,Rail (Green)
2016-08-01T04:00:00.000Z,72455,Rail (Blue)
2016-08-01T04:00:00.000Z,204021,Rail (Orange)
2016-08-01T04:00:00.000Z,3685,Ferry (Boat-F1)
2016-09-01T04:00:00.000Z,128661,Commuter Rail
2016-09-01T04:00:00.000Z,389847,Bus (Bus)
2016-09-01T04:00:00.000Z,34481,Bus (Silver Line)
2016-09-01T04:00:00.000Z,7158,The RIDE
2016-09-01T04:00:00.000Z,271556,Rail (Red)
2016-09-01T04:00:00.000Z,194120,Rail (Green)
2016-09-01T04:00:00.000Z,75057,Rail (Blue)
2016-09-01T04:00:00.000Z,223924,Rail (Orange)
2016-09-01T04:00:00.000Z,3236,Ferry (Boat-F1)
2016-10-01T04:00:00.000Z,135485,Commuter Rail
2016-10-01T04:00:00.000Z,383841,Bus (Bus)
2016-10-01T04:00:00.000Z,35759,Bus (Silver Line)
